Name,Job Title(s),Role(s),Website,Instagram,Location,Books
Luciana Bianchi,"Author,Food Stylist","Author,Food Stylist",https://www.luciana-bianchi.com/,lucianabianchi,,"Brazilian Food,Brazilian Food"
Lucinda Ganderton,Designer,,,,,
Lucy Engelman,Illustrator,,,,,
Luisa Brimble,Photographer,,,,,
Luke Mancuso,Author,Author,,,,Yiayia Next Door
Marie Kacouchia,Author,Author,,,,Vegan Africa
Marie O'Shepherd,"Designer,Art Director",,https://www.marieoshepherd.com/,marieodesign,Australia,
Marie-Pierre Morel,Photographer,,,,,
Marina Filippelli,Food Stylist,,marinafilippelli.com,marinafilippelli,,
Mark Campbell,Designer,,,,,
Mark Diacono,Photographer,,,,,
Martin Bruno,Photographer,,,,,
Martin Poole,Photographer,Photographer,https://www.martinpoolephotography.com/,martinpoolephotography,London,Chinese Unchopped
Martin Westlake,Photographer,,,,,
Massimo Bottura,Author,Author,,,,Never Trust a Skinny Italian Chef
Matt Cox,Designer,,,,,
Matt Inwood,Designer,,,,,
Matt Russell,Photographer,"Photographer,Photographer,Photographer,Photographer,Photographer,Photographer,Photographer,Photographer,Photographer,Photographer",https://mattrussell.co.uk/,matt_russell,,"Salad Feasts,Sardine,Simple Spice Vegetarian,Zaitoun,Poké,The Saffron Tales,Puglia,A Modern Way to Cook,Tava,Bitter Honey"
Matt Willey,Designer,,,,,
Matthew Evans,Author,Author,,,,The Commons
Matthew Hague,Photographer,Photographer,www.matthewhague.co.uk,matthewhague,London,Tava
Mia Johnson,Designer,,,,,
Micaela Alcaino,Designer,,,,,
Michael Nash Associates,Designer,,,,,
Michelle Mackintosh,Designer,"Designer,Designer",https://floatingbooks.com.au/,michellemackintosh,Australia,"Ramen-topia,Taco-topia"
Monica Lo,Photographer,,,,,
Mowie Kay,Photographer,,,,,
Murray Batten,Designer,,,,,
Nassima Rothacker,Photographer,Photographer,https://www.nassimarothacker.com/,nassimarothacker,,Tokyo Stories
Nat Turnbull,"Food Stylist,Art Director",,https://www.natalieturnbull.com.au/,,Australia,
Newman+Eastwood,Designer,,https://newmanandeastwood.com/,newmanandeastwood,,
Nico Schweizer,Designer,,,,,
Oberto Gili,Photographer,,,,,
Oliver Blackburn,Food Stylist,,https://www.oliverblackburn.com/,oliverblackburn,,
Oliver Rowe,Food Stylist,,,,,
Ophelia Pang,Illustrator,,,,,
Patricia Niven,Photographer,,https://www.patricianiven.com/,patricianiven,,
Patrick Insole,Designer,,,,,
Patrick Rosenthal,Food Stylist,,https://www.patrickrosenthal.de/,patrick_rosenthal,,
Paul Winch-Furness,Photographer,,,,,
Paula Disbrowe,Author,Author,,,,Thank You for Smoking
Pene Parker,Designer,Designer,https://www.peneparkerdesign.com/,,,Brazilian Food
Penny De Los Santos,Photographer,,,,,
Penny Stock,Designer,,,,,
Peter Moffat,Designer,,,,,
Phaidon Editors,Author,"Author,Author",,,,"The Kitchen Studio,Tuscany"
Philippe Barret,Photographer,,,,,
Piotr Gregorczyk,Photographer,,https://www.gregorczyk.co.uk/,photogregor,,
Praline,Designer,,,,,
Priya Krishna,Author,Author,,,,Cooking at Home
Rachel Holtzman,Author,Author,,,,Bread Head
Rachel Vere,Prop Stylist,Prop Stylist,http://www.rachelvere.com/,rachelvere,,Rambutan
Renata Fuller,Photographer,,https://renfuller.com/,ren_fuller,,
Renáta Török-Bognár,Photographer,,,,,
Rick Martinez,Author,Author,,,,Mi Cocina
Rinku Dutt,Author,Author,,,,Kolkata
Rinne Allen,Photographer,,,,,
Rochelle Eagle,Photographer,,,,,
Rogério Voltan,Photographer,Photographer,https://www.voltanphotos.com/,voltanphotos,,Brazilian Food
Romulo Yanes,Photographer,,,,,
Rosa Cienfuegos,Author,Author,,,,Comida Mexicana
Rosheen Kaul,Author,Author,,,,Chinese-ish
Rosie Reynolds,"Food Stylist,Recipe Developer",Food Stylist,https://cargocollective.com/rosiereynolds,rrfoodstyle,,Zaitoun
Rowena Dumlao-Giardina,Photographer,,,,,
Ruby Tandoh,Author,"Author,Author",,,,"Flavour,Eat Up"
Ruby Taylor,Designer,,,,,
Ryan Opaz,Photographer,,,,,
Sabrina Baksh,Author,Author,,,,Kebabs
Sam A Harris,Photographer,,samaharris.com,samaharris,,
Sam Dixon,Food Stylist,Food Stylist,http://www.samdixonstylist.com/,sam__dixon,,Rambutan
Sandra Mahut,Photographer,,http://sandramahut.com/,sandramahut,,
Sarah Amouyal,Author,Author,,,,Babka Zana Boulangerie
Sarah Britton,Author,Author,,,,Naturally Nourished
Sarah Greeno,Designer,,,,,
Sarah Locher,Illustrator,Illustrator,,,,Rambutan
Sarah Wasserman,Author,Author,,,,Mildreds Vegan Cookbook
Scott Grummett,Photographer,,https://www.scottgrummett.com/,grummettscott,,
Shahrzad Darafsheh,Photographer,Photographer,,,,The Saffron Tales
Shantanu Starick,Photographer,,,,,
Signe Birck,Photographer,,,,,
Simon Wheeler,Photographer,,,,,
Sonya Balasubramanyam,Editor,,,,,
Sophie Brissaud ,Editor,,,,,
Stephanie Stamatis,Art Director,,,,,
Steve Leard,Designer,,,,,
Steven Joyce,Photographer,Photographer,,,,Kolkata
Stuart West,Photographer,,https://stuartwest.co.uk/,stuartwestphotography,,
Studio NUR,Designer,,,,,
Studio Polka,Designer,,,,,
Sumayya Usmani,Author,Author,,,,Mountain Berries and Desert Spice
Susan Le,Designer,,,,,
Sybella Stephens,Editor,Editor,,,,Brazilian Food
Tamar Adler,Author,Author,,,,An Everlasting Meal
Tamara Voss,Food Stylist,,https://www.tamaravosfood.com/,tamara_vos,,
Tara Jensen,Author,Author,,,,Flour Power
Tessa Kiros,Author,Author,,,,Venezia
The Silver Spoon,Author,Author,,,,Puglia
Thiago Castanho,Author,Author,,,,Brazilian Food
Tim Anderson,Author,"Author,Author",,,,"Japaneasy: Bowls & Bento,Tokyo Stories"
Tina Sturzenegger,Photographer,,https://www.tinasturzenegger.com/,tinasturzenegger,,
Toby Glanville,Photographer,,https://www.tobyglanville.com/,tobyglanville,,
Tom Hunt,Author,Author,,,,"""Eating for Pleasure, People & Planet"""
Tom Jay,Illustrator,,,,,
Tony Briscoe,Photographer,,https://tonybriscoe.co.uk/,tonybriscoe,,
Tree Abraham,Designer,,,,,
Trine Hahnemann,Author,Author,,,,Copenhagen Food
Vanessa Austin,Food Stylist,,http://vanessaaustin.com/,vanessaaustinstylist,,
Vanessa Mendozzi,Designer,,https://www.vanessamendozzidesign.com/,vanessa_mendozzi_books,,
Vicki Turner,Illustrator,,,,,
Vivienne Polak,Author,Author,,,,Sharing Puglia
Walter Green,Designer,,,,,
Wei Tang,"Food Stylist,Prop Stylist","Prop Stylist,Food Stylist",,,,"Apple,Tokyo Stories"
Wendy Hobson,Editor,Editor,,,,Tokyo Stories
What Was Had,Illustrator,,,,,
Yasmin Khan,Author,"Author,Author",,,,"Zaitoun,The Saffron Tales"
Yuki Sugiura,Photographer,,,,,
Zoe Barker,Illustrator,,,,,
